name,Tc
Sn1Te1,
Au0.22Te0.78,1.54
La1.92Sr0.08Cu1O4,24
Bi2Sr1.85Ba0.15Ca1Cu2Oz,83.5
B2Mg1,39.5
Pu1Rh1Ga5,8.5
Ru0.4V0.6,1
Nb0.4Ta0.6C1,9.7
Nd1.85Ce0.15Cu1O3.98,
Nb0.8Ga0.17Cr0.03,11.5
Bi4Sr4Er2Cu4O16+Y,
Bi1Pt1,1.21
Ti0.564V0.376Ru0.06,4.72
Sm1.665Gd0.185Ce0.15Cu1O4,13
Nb3Sn2,17.2
Bi2Sr2Ca1Cu2O8.24,80
Sr2Sc1Fe1P1O3,12
La1.9Ca1.1Cu2O6+Y,
La1Os2,8.9
La3Al1C1,
Zr0.99V0.01B2,6.4
Ta0.15Zr0.85,4.28
Y1Ba2Cu2.7Fe0.3IOZ,
Hf0.1Ta0.9,5.6
Mg0.815Al0.185B2,25.3
Hf0.2Ta0.8,6.26
La0.8Lu0.2,3.4
Hg1Ba2Ca4Cu5Oz,87
Eu1Nd2S5,3
Mo1Sr2Sm1.5Ce1Cu2O10,18
Au0.2Sb0.6Te0.2,6.6
Ir3V1,
La1.85Sr0.15Cu1O3.993,20
Y1Ba2Cu3OZ,92.8
Y1.8Ru0.2C2.7,11.2
Y1Sr2Cu2.8Ge0.2O,18
Fe1Se1,60
Y1Ba2Cu3.98Zn0.02O8,68
Sr0.925Nd0.075Cu1O2-d,
Y1Ba2Cu3O6.66,
La1.881Ba0.119Cu1O4,9.3
Nb0.5Ti0.45Zr0.05,
Y1Ba2Cu3O6.894,80.5
Yb1Ba2Cu3O7,96.1
Y0.7Pr0.3Ba2Cu3O6.96,57
Ba1Pb0.8Bi0.2O3,10.25
Tl1.15Sr1.6Ba0.4Ca2Cu3Ag0.4Oz,36
Ce1Co0.5Ir0.5In5,0.64
Nd0.8Sm0.2F0.3Bi1S2O0.7,4.9
Tm1Ba2Cu3O6.44,28
Y0.95K0.05Ba2Cu3O6.6,89.4
Bi2Sr2Ca0.6Y0.4Cu2O8+z,67.8
Sm1.15Ba1.85Cu3O6.95,77.3
La1Ba2Cu2.7Co0.3O7.05,
Dy1Ni1.995Co0.01B2C1,4.1
Tb0.56Ca0.44Fe1As1O1,15.6
Tm0.6Pr0.4Ba2Cu3O6.95,50.3
La1.5Nd0.5Ca1Ba2Cu5O11.583,79
Y1Ba2Cu3O7-d,93
Y1Ba2Cu3O6.13,
Y0.8Ca0.1Pr0.1Ba2Cu3O6.95,81.4
Mg0.55Al0.225Li0.225B2,25.6
La1.75Sr0.25Cu1OZ,11.9
Ca1Al0.5Ga0.5Si1,3.73
La1Pd0.85Bi2,2.1
Mo6S6I2,13
Nb0.6Ti0.4,9.8
Ge3Nb5,0.46
Nd1.85Ce0.15Cu0.999Ni0.001O4,20
Mg1C1Ni3,7
La1.875Ba0.125Cu0.9Zn0.1O4,
Eu1Bi1S2F1,8.2
Tm1Ba2Cu3O6.99,89.8
Be0.95Ru0.05,1.47
La1Fe1As0.6P0.4F0.05O0.95,19.08
Pu1Ni1Ga5,
Li0.34Cs1Ca2Nb3O10,5.4
La1Fe1As1F0.04O0.96,
Rb0.7Bi1.3O3,11
Sc1Mo6S7,2.67
Y1.8Bi0.2C2.9,9.35
C1Si1,1.45
Ca0.8Na0.2Fe2As2,
Eu1Ba2Cu3O6.76,77
Nb2Pd1S4.25Se0.75,3.18
La1.35Sr0.65Cu0.5Fe0.5O4,
Ba0.48K0.52Bi1O2.9,21.1
Hg0.75Re0.25Sr2Gd1.5Ce0.5Cu2Oz,39
Bi2Sr2Ca1Cu1.982Ni0.018O8+d,74
La1Fe0.7Ru0.3As1F0.11O0.89,17.2
Ba0.6K0.4Fe2As2,36.5
Co0.5Mn0.5U6,2.55
Ta1S1.6Se0.4,4.1
Nb0.6Ta0.4C1,
Nd1Ba2Cu3O6.82,95
Yb1Ga1.1Si0.9,2.4
Pb2Sr2Cu2Ta1Cl1O8,
La0.93Pr0.07Tl3,0.8
Bi2Sr2Ca0.3Pr0.7Cu2OZ,
Pb1Mo6S8,12.7
B2Mg1,39.5
Bi1Ir1,
Ti1Os1P1,
Nb1Pt1,
Al0.3Ga0.7V3,13.9
Yb0.7Pr0.3Ba2Cu3O6.87,67.2
B1Nb3,
Y1Ba2Cu2.961Zn0.039O6.7,38
Bi1Cu1,1.4
Ba2Ti2Fe2As4O1,18.75
La1.875Ba0.125Cu0.96Ni0.04O4,
Al0.25V0.75,16.9
Nb1Se2,6.7
Au0.25Nb0.75,11
Ca0.1Ba1.65La1.25Cu3O7.01,19.5
Lu1Ni1B0.8C1.2,3.2
La6.4Ca1.6Ni7Ni1O20,
H0.46Nb0.69Pd0.31,3.05
Cd0.2Mg0.08,
Ca1.7Na0.3Cu1Br1Cl1O2,23.5
Nb3Ge0.5Ga0.5,7.3
Au0.1Sb0.9,8
Gd1Sr2Ru0.9Cu2.1O8,37.75
Tl1Sr2Ca1Cu2O6.88,0
Au1Pb3,4.4
Nb3Rh0.98Au0.02,2.53
Na0.4Bi1Ta2S5,
Na0.31Co1D2.5O3.25,4.5
Y1Ba2Cu3O6.92,92.2
Be22Re0.95W0.05,9.45
Pb0.14Hg1.16Ba2Ca1.38Cu2.56Ox,
Eu1.80375Gd0.04625Ce0.15Cu1O4,5.7
Y1Ba2Cu2.85Zn0.15OX,38
La1.2Ba1.47Ca0.33Cu3Oz,53
Mo3Sb7,2.25
Tl1Ba2Ca1.7Na0.3Cu3O9-z,100.31
Y1Ba2Cu3O6.94,91.7
Y1Ba2Cu2.955Co0.045O7-Z,
Ca1.89Na0.11Cu1Cl2O2,15.14
Mg0.815Al0.09B2,32.7
Ba0.63K0.37Bi1O3,31
Hg1Ba2Cu1O4+z,26
Zr3V3O1,7.5
Bi2.2Sr1.8Ca1.05Cu1.65Na0.5O8+Z,90
Nd1Ba2Cu2.85Ga0.15O6.62,23
Nb77.9Sn11.1Al5.5Ge5.5,13
Y1Ba1.925La0.075Cu3O6.9,99
Ce1Cu2Si2,0.6
Tc0.1W0.9,1.25
K1,
Mg1B1.94C0.06,34.8
La1.85Sr0.15Cu1O4,35
Y1Ba2Cu2.97Mn0.03Oz,90.2
Pd1Sb1,1.5
Tl0.25Li0.25Ba2Ca1Mg1Cu3.45Co0.05O10-z,112
S1W1,
Hg0.5Tl1.5Ba2Y0.4Ca0.6Cu2O8-z,
Nd1Fe1As1F0.18O0.82,50
Y1Ba2Cu2.85Zn0.15O7,
Hg0.8Ge0.2Ba2Ca1Cu2O6.2,124
Nb0.44Ti0.56,8.99
La0.8Pr0.2Ba1Ca1Cu3O7,52
La2Cu1O4,
Be0.957Re0.043,9.67
Mg0.6Ti0.4B2,37.5
Bi1.7Sr1.3Ca2Cu3OX,95
Bi2Sr1.51La0.49Cu1O6+D,33.5
C60K3,19.3
Al1,1.159
Sm1Fe0.99Mn0.01As1F0.12O0.88,37.2
Mo0.6Ru0.4,8.7
La1.7Ba0.3Cu1O4+Z,16
Ba0.5K0.5Bi1O3,19.55
Ba1Cu1O2+X,
Y1Ba2Cu3O7,93
Mo0.3Si1,11.7
Y1Ba2Cu3O7-z,92
Y1Ba2Cu3O7,83
Tl1.07Sr2.04Lu0.29Ca0.61Cu1.99Oy,77
Sm1Fe1As1F0.12O0.88,50.1
Re0.67Y0.33,1.83
La1Pd2Ge2,1.12
La1Ni1B1N1,
Nd0.78La1.1Ce0.12Cu1O4-d,17
Y1Ba2Cu3O6.9,88
Tl0.9Sr1.6Yb0.4Ca1Cu2.1O7-z,78
Lu2Fe3Si5,6.1
Y1Ba2Cu3H0.91O6.91,91.4
La1.81Sr0.19Cu0.995Zn0.005O4,29
Bi2Sr2Ca0.6Y0.4Cu2O8,37
Nd2Cu1F0.1O3.9,
Bi1.6Pb0.4Sr2Ca1.5Sm0.5Cu3Oz,28
La1.78Sr0.22Cu0.96Zn0.04O4,
Nb3Sn0.5Zr0.5,16.5
Rh3Y1,1.07
Pd50.745Mo0.255Sb49,1.67
Dy1Ni2B2C1,6.24
U0.4La0.6Pd2Al3,
Er1Ba2Cu2.9Ni0.1OX,83.3
Ca1Fe1.8Co0.2As2,17.1
Y1Ba2Cu3.992Zn0.008O8,66.1
Be5Rh1,
La2Cu1O4,21.5
Ba1Ti2Sb1.9Sn0.1O1,
C8.1K1,0.152
Pr1Co1Ge3,
Gd0.97Pr0.03Ba2Cu3O7,93.1
Er1Ba2Cu3O6.91,92
La1.75Nd0.125Sr0.125Cu1O4,17.5
Y1Ba2Cu3H0.64O6.54,42.05
B2Mg1,38
Dy0.1Pr0.9Ba2Cu3O7,
Bi0.5Pb0.5,8.4
Al0.08Au0.92,0.088
Sr0.7Ca0.3Cu1O2,99
Y0.85K0.15Ba2Cu3O6.48,90.15
Pd2Sn1Y1,4.9
Tl0.2Hg0.8Ba2Ca2Cu3Oz,
Y1Ba2Cu3OZ,84.5
Nb3Rh0.3Ir0.7,
Eu1Fe1.78Ir0.22As2,21
Eu1Ba1Sr1Cu3O6.94,80
Nb99.861O0.139,9.03
Cr0.045Fe0.855Al0.1,
Ca0.4Na0.6Fe2As2,25
Eu1Ba2Cu2Co1O7.31,
Hg0.65V0.35Sr2Ca0.65Nd0.35Cu2Oz,81.5
Hf1,0.128
La0.23Th0.77Pb3,2161
Bi2Sr1.9Y0.1Ca1Cu2O8.24,94
Y1Ba2Cu3Co0.1OZ,91
Pr1.83Ce0.17Cu1O3.99,13
Ru1Sr2Gd1Cu2O8,27.5
V3Ga0.6Si0.4,9.5
Bi2Sr2Ca0.72Pr0.28Cu2O8+d,71
Bi2Sr2Ca1Cu2O8.198,78
Tl1,1.38
Bi2Sr2Ca1Cu1.97Zn0.03O8+d,
Fe1Se1,8.8
Mo0.3V0.7,0.76
Hf0.77Os0.23,
Pr1.74Ce0.15Sr0.11Cu1O3.96,18
La1.85Sr0.15Cu1O4,30
Er0.8Pr0.2Ba2Cu3O7-Z,80
Y1Ba2Cu3O7,86
La1.9Sm0.1Cu1O4,25
